feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24
81,60,32,18,14,25,35,69,295,177,378,536,944,935,879,941,855,1136,1203,1238,865,757,428,220
153,99,45,39,22,17,29,75,131,160,361,621,1123,1047,845,862,851,901,1064,950,757,633,319,208
444,302,169,117,84,40,30,67,117,190,389,737,1324,1539,1472,1229,1011,1152,1224,1181,1024,654,546,299
111,40,22,20,18,23,25,79,233,186,363,689,1178,1197,1109,944,957,963,969,1120,923,722,453,263
107,67,46,26,14,8,34,70,171,234,333,525,1023,1150,837,906,959,990,1241,1108,993,812,612,310
265,152,74,48,41,13,39,80,190,174,380,698,1134,1307,1095,1114,1079,1160,1291,1257,1338,1114,791,471
149,66,75,39,28,21,47,78,206,227,397,628,1266,1315,1047,1127,996,1149,1250,1175,1027,804,490,258
201,134,95,48,35,34,37,122,226,212,395,728,1380,1353,1128,1089,1137,1159,1092,1129,952,698,430,213
197,129,43,54,16,11,38,78,170,210,263,516,1161,1353,1113,1011,996,1017,1288,1219,1110,937,613,382
227,109,64,40,33,17,47,92,262,149,310,629,1122,1121,925,829,915,1055,1232,1170,1035,1009,859,546
72,24,46,17,12,22,28,78,221,225,444,625,1194,1203,953,964,823,949,1068,1004,797,630,423,201
125,87,57,35,20,22,33,58,118,184,364,634,1290,1344,977,852,932,1074,1287,1280,1024,767,501,274
184,66,56,76,25,21,39,93,220,226,461,642,1324,1297,998,1088,1081,1295,1585,1700,1657,1336,1011,640
224,143,79,42,30,16,33,83,183,178,337,604,1063,1096,939,822,927,1196,1523,1597,1539,1305,1172,717
71,49,28,11,37,27,33,104,195,192,337,588,1167,1137,925,824,917,985,1063,1143,911,621,392,193
91,70,49,16,37,30,23,94,299,270,416,733,1280,1250,1014,1047,884,1082,1254,1255,1042,723,519,225
225,141,78,48,37,14,36,66,207,210,397,696,1288,1404,1032,966,982,1303,1556,1633,1541,1416,1110,783
159,79,55,39,62,17,22,65,157,208,400,689,1240,1252,962,969,1072,1283,1611,1679,1450,1168,1004,736
161,111,55,46,24,19,22,85,165,188,329,657,1300,1371,1179,1006,993,1100,1368,1283,1130,844,620,309
113,69,48,17,19,20,36,62,145,203,357,527,1046,1127,792,753,821,931,1089,924,771,656,352,224
207,121,52,25,24,21,36,81,159,169,290,577,1015,1263,1131,799,1089,1196,1206,1150,962,847,708,602
97,72,38,44,39,15,47,124,316,229,445,681,1406,1446,1228,1227,1119,1320,1636,1713,1387,1160,796,428
241,145,79,39,55,17,59,68,154,214,352,620,1204,1216,880,716,814,1045,1260,1441,1177,1121,922,561
138,98,50,13,15,17,43,113,275,181,342,618,1295,1273,1121,970,1020,1107,1159,1138,1067,840,610,312
132,80,38,23,10,23,40,120,243,231,442,699,1326,1404,1223,1228,1034,1163,1145,1259,1131,837,554,337
120,71,43,57,52,25,43,80,242,168,322,546,1086,1203,1062,919,908,1054,1234,1127,1036,989,695,385
104,59,36,10,7,13,26,101,207,235,257,514,1023,1165,887,767,815,979,1206,1088,883,679,389,210
172,96,56,33,56,10,43,64,181,195,382,599,1057,1160,1000,925,841,1062,1122,1106,651,507,253,134
142,85,39,34,48,17,25,105,254,226,444,724,1347,1360,1082,973,1024,1285,1486,1409,1185,1018,638,313
109,99,50,86,16,12,21,128,226,203,358,568,1127,1243,910,825,887,1129,1327,1221,983,717,597,270
156,122,113,51,29,19,48,111,275,251,397,675,1185,1138,920,883,927,1131,1202,1241,1020,956,682,418
112,73,22,39,27,15,46,96,247,211,348,584,1194,1050,945,859,893,1029,1247,1257,1014,892,579,325
176,91,48,41,37,20,37,83,136,213,463,757,1320,1428,1100,1046,929,1123,1265,1185,1190,1019,701,353
125,93,57,31,26,17,44,90,178,229,363,565,1145,1197,1065,978,1000,1085,1285,1383,1117,958,741,380
135,91,83,54,61,8,46,103,166,144,325,611,1043,1140,1059,939,841,945,1178,1093,814,776,537,307
86,24,24,25,32,57,33,103,141,208,378,687,1315,1408,1184,1017,910,1154,1287,1167,899,615,420,213
163,115,87,45,32,48,45,69,217,181,397,703,1271,1456,1205,1097,1016,1188,1272,1109,846,601,663,348
85,40,22,13,26,16,29,94,195,207,310,557,1000,1174,890,832,854,1074,1168,1165,823,591,419,224
180,126,55,22,16,14,22,142,303,265,390,615,1300,1316,1205,1035,1110,1251,1346,1264,1128,891,623,485
123,84,35,44,49,10,34,95,256,166,325,548,1137,1066,883,890,838,915,1059,1118,768,519,317,210
220,205,46,16,19,14,32,82,208,163,365,514,1203,1163,873,859,925,1088,1274,1160,967,696,440,243
65,63,17,12,10,20,20,94,189,230,399,680,1186,1139,866,802,903,976,1155,1009,902,613,338,248
178,119,51,45,39,19,35,157,230,201,376,652,1303,1345,1154,1188,1149,1360,1466,1564,1494,1286,867,714
244,144,74,40,18,13,23,112,225,221,313,697,1252,1234,1220,1215,1038,1106,1227,1401,1452,1183,821,445
195,135,46,24,25,28,43,99,208,188,297,597,1179,1302,1113,1092,1050,1063,1253,1255,1133,888,743,355
159,66,52,56,31,26,30,70,177,244,513,706,1598,1505,1375,1124,1158,1258,1377,1350,1153,931,715,412
153,101,33,22,18,43,45,111,155,164,320,493,965,1100,833,785,773,888,984,974,821,483,366,173
84,53,48,47,52,16,40,84,191,157,341,581,1002,1080,736,781,857,926,1077,1018,832,628,364,192
110,45,29,19,13,22,25,62,195,167,342,579,1083,1108,893,802,798,986,1092,1047,809,658,394,215
432,309,112,115,100,35,29,65,153,182,480,845,1345,1637,1389,1275,1142,1238,1381,1644,1277,1151,927,574
74,49,32,25,38,10,23,124,263,269,433,623,1371,1427,1074,1102,1081,1149,1454,1322,1108,898,557,316
133,65,31,14,9,25,17,78,165,254,395,627,1185,1218,957,961,934,1208,1411,1370,1170,872,609,357
180,101,53,36,59,20,26,84,217,242,401,676,1275,1410,1142,1130,1091,1386,1652,1646,1528,1420,994,691
162,98,65,35,32,19,35,93,158,253,394,642,1188,1225,899,944,924,1285,1526,1579,1493,1177,1058,651
297,217,82,54,69,30,26,78,230,212,369,690,1265,1403,1140,1213,1195,1232,1308,1462,1393,1286,1067,697
540,484,252,160,158,46,49,53,141,167,459,806,1393,1638,1545,1441,1389,1495,1597,1822,1653,1261,876,679
103,78,34,19,29,24,26,67,168,185,315,670,1011,1089,957,766,790,946,1119,1163,1030,718,529,225
105,66,55,21,36,16,26,87,266,201,352,607,1095,1245,870,769,787,993,1138,936,712,532,312,160
193,105,60,52,15,14,38,82,168,232,369,634,1280,1343,1116,891,961,1310,1648,1492,1413,1264,874,479
116,83,46,34,42,42,33,101,249,255,318,730,1265,1394,1148,1048,1013,1141,1350,1376,1152,863,514,274
89,75,52,26,13,10,31,74,176,250,386,595,1093,1297,998,879,915,1151,1402,1241,1126,922,566,289
101,32,26,19,30,21,43,62,176,180,355,680,1168,1314,960,931,1072,1130,1134,1080,766,505,410,166
177,44,50,31,21,25,52,91,205,264,418,683,1311,1323,976,906,966,1032,1100,1010,850,658,408,211
153,95,83,20,23,11,36,89,208,168,357,608,1075,1130,865,930,968,1120,1204,1252,1039,755,514,384
166,69,33,18,29,14,35,115,253,233,382,657,1221,1392,1089,1025,975,1283,1669,1656,1472,1213,930,680
113,60,66,24,16,19,30,106,223,243,397,725,1385,1301,957,855,898,1218,1390,1492,1107,922,503,288
190,153,51,38,39,18,35,79,216,202,388,755,1395,1466,1349,1166,995,1203,1412,1400,1281,965,617,271
215,96,47,27,15,19,28,86,147,198,404,635,1205,1253,978,1081,1275,1334,1507,1737,1623,1364,1027,751
298,249,133,74,34,30,37,80,220,194,392,671,1272,1423,1090,1026,1094,1373,1537,1706,1594,1531,1226,848
141,84,39,14,22,33,52,94,156,179,335,462,925,883,820,704,738,827,930,962,808,751,425,264
154,49,54,26,24,16,36,111,208,202,319,567,1163,1277,1018,1028,983,987,1145,1049,981,757,547,317
51,29,11,27,16,10,34,90,191,176,342,515,963,1041,788,694,869,845,1015,806,618,513,340,220
158,86,32,16,14,11,38,115,217,245,405,654,1278,1152,892,895,882,1009,1125,1171,1038,770,589,287
215,94,29,30,27,18,38,95,289,210,303,557,1110,1160,1001,965,918,1130,1311,1263,1112,731,522,313
141,80,21,20,7,18,25,86,168,184,234,584,1085,1281,946,896,945,1076,1145,1119,917,672,369,206
267,181,59,48,15,23,21,100,214,221,322,690,1354,1382,1166,1071,1059,1129,1189,1161,1024,760,441,329
125,53,27,33,17,22,34,76,236,210,390,716,1470,1412,1187,1044,1029,1274,1227,1070,854,628,372,197
170,106,45,27,68,15,34,95,184,180,359,583,1094,1248,1049,1009,811,1022,1203,1281,991,728,452,233
155,81,55,23,29,11,44,66,118,198,365,597,1019,1123,972,854,882,1106,1355,1217,1067,895,570,329
184,92,42,57,55,16,32,92,192,151,310,602,1285,1348,1131,1069,1017,1131,1235,1259,1029,896,655,405
75,47,21,16,21,15,29,88,266,229,345,600,1189,1217,976,858,947,1019,1184,1145,861,678,435,197
100,71,19,20,21,15,34,103,193,177,434,663,1226,1292,1027,940,633,842,926,879,810,509,342,190
224,135,55,41,13,16,29,68,205,223,399,626,1350,1365,1142,1070,1069,1322,1521,1640,1503,1228,1109,596
126,78,50,29,21,26,25,67,216,203,434,690,1195,1390,1078,1101,997,1427,1742,1829,1613,1415,1057,672
137,106,44,26,33,12,30,109,213,192,387,638,1258,1217,1127,933,1014,1036,1264,1265,1124,979,673,417
167,95,40,27,30,11,49,79,269,139,315,680,1254,1354,1087,1068,1065,1131,1081,1210,1120,938,659,348
108,103,31,14,37,21,34,113,187,168,376,609,1247,1274,887,899,908,960,1147,1128,955,747,565,203
224,127,73,26,41,18,37,92,231,168,287,570,1123,1175,997,810,837,1001,1138,1242,1128,939,672,418
167,66,65,77,16,19,34,102,236,245,365,751,1411,1405,1308,1002,1033,1240,1456,1550,1203,1003,632,355
219,96,72,28,47,9,27,87,307,246,411,652,1243,1287,1066,999,1084,1264,1591,1564,1461,1275,1045,598
108,56,24,21,8,17,21,77,213,167,346,592,1204,1207,983,971,1013,1074,1114,1192,907,729,477,259
146,89,29,44,32,19,41,96,247,201,448,630,1286,1283,1035,1169,1170,1247,1468,1362,1207,1058,888,396
110,90,36,20,31,16,34,116,198,187,291,531,1160,1139,973,999,948,981,1151,1053,900,715,472,313
122,84,67,27,14,21,23,125,257,220,348,685,1067,1247,1032,845,882,1192,1337,1193,894,722,410,275
156,104,63,44,36,20,45,72,249,255,353,658,1363,1361,1095,1044,1038,1393,1609,1674,1427,1087,865,605
108,77,51,31,26,11,46,95,173,218,341,577,1151,1133,1017,1006,909,1023,1129,1105,819,738,584,275
60,72,44,39,67,22,19,78,200,169,310,589,1105,1170,966,860,768,920,1120,999,832,553,366,195
159,107,53,33,49,28,22,77,172,213,414,546,1110,1161,978,885,926,1243,1541,1497,1448,1194,855,655
89,27,42,44,17,16,35,104,157,175,393,548,1129,1120,983,801,899,910,1009,968,715,614,304,240
221,146,59,52,22,21,51,113,221,185,397,659,1166,1217,998,956,1060,1440,1891,1927,1666,1392,1115,684
111,74,45,28,35,23,45,73,217,188,333,615,1108,1107,884,906,928,1056,1176,1147,912,832,435,236
210,120,54,24,50,18,39,82,141,235,376,670,1258,1322,1112,1021,1026,1248,1125,1140,927,682,490,205
112,64,30,20,37,15,36,92,172,177,329,542,927,963,879,852,800,1089,1183,1028,965,793,549,283
108,65,52,36,57,11,22,185,196,176,343,606,1123,1235,979,934,875,1212,1312,1262,1071,816,531,296
97,45,25,22,18,21,44,98,234,194,397,642,1392,1336,1111,949,1012,1275,1261,1282,966,792,380,251
131,84,41,25,25,13,22,100,210,183,356,608,1095,1110,921,898,866,1031,1395,1331,1058,822,607,288
85,53,33,23,19,33,33,70,169,228,317,559,1162,1150,871,793,841,1031,1195,1196,885,655,428,248
69,48,28,16,14,11,22,92,304,209,373,612,1097,1083,887,813,790,1104,1147,1166,825,564,377,247
137,61,46,6,25,14,32,76,234,221,388,518,1081,1240,906,810,899,1027,1221,1241,1029,799,431,261
136,67,37,18,18,23,36,84,183,222,428,642,1265,1401,987,945,1062,1058,1164,1185,993,729,485,316
66,38,33,24,34,20,27,87,142,197,406,609,1243,1222,881,786,739,1099,1207,1199,1079,845,556,261
109,71,24,26,17,25,32,98,236,270,398,615,1231,1336,970,933,799,1026,1201,1253,848,659,422,243
89,41,41,18,41,12,29,81,206,198,332,532,892,1050,827,760,852,956,1034,1040,818,628,365,234
179,125,83,59,18,25,37,94,357,246,419,653,1303,1313,1145,994,909,1124,1363,1406,1297,1104,790,389
85,40,25,19,11,18,32,77,204,198,337,547,958,907,863,912,1026,1066,1086,1072,731,530,552,287
118,82,47,12,11,17,21,80,173,247,390,597,1195,1136,1020,994,950,1083,1139,1177,851,664,360,151
256,172,108,76,61,31,13,64,127,200,363,647,1307,1290,1289,1173,1000,1085,1175,1088,839,580,314,178
145,81,46,63,19,31,32,56,178,212,405,574,1181,1239,1037,978,1170,1287,1660,1761,1675,1386,998,796
298,184,86,65,42,38,36,93,216,238,448,629,1296,1459,1179,980,1019,1331,1478,1578,1528,1470,1098,640
138,58,58,58,27,16,27,82,173,233,411,590,1100,1128,1023,958,946,1126,1194,1187,1077,775,512,354
115,91,62,44,33,16,31,68,167,238,378,606,1256,1105,838,798,855,1099,1496,1493,1337,1118,957,639
140,98,77,43,15,12,26,68,201,214,324,489,1120,1290,1143,1000,1099,1321,1595,1620,1377,1179,968,643
149,89,74,43,19,23,34,98,201,208,400,695,1324,1369,1277,1070,1101,1206,1520,1370,1278,1082,791,486
198,99,58,33,50,20,27,62,214,185,341,561,1373,1395,1157,1091,1102,1346,1601,1689,1493,1259,934,611
177,69,62,40,17,22,58,101,341,213,411,642,1218,1400,1106,999,1139,1268,1279,1453,1222,1094,648,355
99,55,29,36,48,17,33,92,223,194,331,503,1106,1096,994,885,868,970,1182,1156,862,767,430,207
116,75,65,14,14,12,38,98,156,156,320,533,1114,1106,921,791,902,1052,1251,1112,1064,750,458,376
126,87,47,41,10,18,27,85,233,207,364,698,1332,1318,1111,1034,936,1095,1124,1367,1110,828,492,256
100,90,37,43,32,20,42,63,170,219,367,534,1155,1224,1002,935,940,1001,1174,1111,840,606,373,186
134,74,31,14,30,26,39,101,199,210,335,503,1064,1189,1029,885,885,920,1026,971,857,707,490,286
99,81,29,28,28,18,44,105,307,190,414,797,1379,1556,1238,1077,1127,1152,1241,1233,1083,837,501,244
128,66,24,23,21,31,42,101,185,243,343,624,1239,1303,1161,1044,1192,1208,1333,1292,1068,733,499,318
88,44,23,37,41,19,24,74,140,203,409,610,1023,993,898,730,829,959,1018,1066,799,650,375,222
157,83,39,32,18,18,35,107,198,193,326,524,1126,1193,1042,958,958,1078,1220,1302,1126,925,789,441
74,60,27,29,33,25,30,50,200,178,445,600,911,1067,1031,888,896,993,1013,998,763,557,354,150
77,60,64,12,20,18,26,97,197,181,441,551,1116,950,886,831,813,1074,976,998,727,551,351,141
147,94,47,14,21,18,27,83,203,222,412,697,1141,1232,1038,1037,942,1134,1350,1350,1071,738,642,334
98,73,66,18,11,9,26,101,222,222,357,519,1025,1220,997,878,910,1048,1092,1012,861,738,443,213
187,74,82,42,42,24,30,46,170,229,473,705,1216,1180,1081,1045,999,1104,1192,1192,935,890,550,290
104,72,74,16,58,20,29,96,177,193,546,553,1081,1230,940,951,890,1119,1329,1223,940,850,515,305
173,88,24,33,9,14,36,111,196,198,383,696,1268,1179,1007,968,994,1070,1170,1200,1020,762,572,308
180,127,68,32,15,21,34,151,213,225,423,751,1312,1355,1032,1027,975,1089,1325,1294,1246,1161,789,397
209,130,41,19,13,27,31,78,86,136,295,658,1087,1319,1290,1169,1232,1131,1379,1269,1087,816,477,222
110,47,46,47,20,25,25,76,164,227,338,614,1049,1000,747,760,843,958,1006,1044,839,678,425,243
157,69,37,65,54,17,45,80,203,160,377,613,1278,1383,1093,1039,1046,1143,1211,1297,1034,861,514,309
142,112,28,15,39,16,38,84,196,166,354,650,1265,1305,1152,908,911,1097,1274,1108,1081,985,538,261
101,126,51,23,22,30,42,81,185,150,435,600,1086,1224,933,924,946,1090,1118,1127,981,771,497,235
167,94,39,25,38,44,56,93,319,225,438,635,1337,1537,1139,1113,1122,1188,1412,1242,1122,794,790,444
101,55,47,36,32,12,28,77,215,205,297,489,1098,1135,845,853,887,918,1038,937,786,510,261,166
105,75,42,45,33,11,31,73,207,216,417,670,1233,1255,898,862,897,1019,1081,842,615,521,288,156
142,70,33,30,19,35,34,97,317,206,358,561,1140,1168,1052,846,806,979,1063,1060,1060,776,645,274
220,84,62,20,24,26,26,70,183,197,302,546,990,1185,1026,980,919,995,1028,983,866,518,362,168
267,136,80,26,28,25,21,88,162,215,393,617,1194,1262,1021,989,1024,1171,1690,1686,1544,1332,1185,849
103,96,40,22,22,30,48,101,251,218,393,669,1155,1259,1033,1047,1050,1180,1325,1308,1106,894,578,290
128,48,31,16,28,11,17,74,201,188,415,535,1058,1104,905,789,807,1058,1128,1049,973,704,462,265
99,64,73,32,70,25,34,86,245,244,413,577,1169,1255,913,1003,917,1048,1216,1168,919,696,401,250
116,87,40,52,5,3,24,84,176,178,368,565,939,1040,895,899,926,832,973,933,639,535,350,140
129,91,47,15,46,21,38,90,203,226,316,453,850,1133,852,793,854,977,1135,1041,896,822,555,366
181,116,103,53,35,46,52,98,252,202,353,642,1181,1324,937,987,932,1242,1344,1327,1083,834,912,413
349,187,100,65,65,40,20,41,48,104,461,771,1449,1622,1389,1446,1240,1268,1320,1449,1438,1318,1075,484
219,143,120,27,15,23,36,88,223,212,317,487,1002,1063,718,773,759,989,1156,1211,1107,1094,879,582
124,51,37,12,15,23,31,89,188,316,442,656,1250,1427,1229,993,944,1056,1144,1068,855,681,411,245
80,78,34,23,23,16,43,94,255,245,333,544,1012,975,886,883,866,1077,1116,1070,730,561,310,143
223,158,116,54,41,16,54,76,258,232,353,629,1195,1387,1179,1119,1081,1400,1628,1560,1578,1409,1246,694
98,55,35,33,13,10,28,67,164,182,363,544,976,1106,937,805,821,995,1042,900,705,451,276,155
147,55,41,18,9,19,29,65,159,173,376,703,1230,1371,1172,1027,952,1189,1242,1286,1098,815,491,249
94,45,41,20,17,7,20,85,195,222,361,628,1090,1243,1104,836,837,1125,1441,1315,1051,892,573,241
74,48,23,22,12,23,31,58,203,225,346,594,1102,1081,885,791,889,1087,1120,972,791,634,392,186
147,54,32,6,19,13,25,97,212,204,456,691,1198,1129,993,871,839,934,1141,1119,926,807,599,267
89,48,22,14,14,22,29,106,252,223,403,631,1077,1034,908,840,764,1103,1244,1044,859,588,327,169
116,74,42,27,23,22,30,70,156,195,374,558,1054,1029,752,749,777,868,997,923,750,623,369,171
111,49,18,6,17,16,54,56,166,179,360,507,948,1090,934,873,787,987,1136,924,771,520,359,197
98,53,31,23,21,32,12,70,138,157,267,477,1138,1093,944,1014,969,1112,1191,1191,955,731,500,247
90,67,46,42,31,29,24,70,147,168,313,594,1060,1077,878,794,805,992,1059,930,714,511,320,145
129,75,53,30,25,24,41,101,264,204,392,666,1207,1203,1025,1022,913,1211,1238,1229,1059,846,522,290
125,66,27,14,59,86,52,79,246,163,344,593,1193,1182,899,882,795,1009,1192,1078,932,796,552,302
195,98,65,21,21,16,39,46,151,181,402,666,1287,1442,1158,985,936,1384,1629,1534,1263,1217,969,739
212,91,75,49,37,15,33,98,243,263,386,602,1157,1202,934,954,902,1200,1350,1393,1188,1109,785,419
203,119,66,63,50,31,38,85,196,201,392,571,1158,1156,975,954,937,1182,1539,1680,1470,1323,1130,673
69,30,13,33,27,30,28,82,175,199,342,576,1108,1077,814,812,776,841,1179,1163,796,677,455,207
136,99,65,77,25,24,30,85,224,218,388,702,1312,1355,1041,938,1034,1365,1633,1675,1448,1288,970,765
214,114,86,54,15,18,45,102,166,205,441,589,1172,1232,982,849,898,1286,1693,1600,1496,1294,975,711
161,98,61,51,31,15,26,68,150,246,359,674,1301,1337,1110,988,996,1285,1563,1703,1528,1340,1147,762
171,142,45,42,33,13,40,89,253,249,392,667,1277,1222,917,922,929,1013,1174,1141,836,852,577,301
161,92,49,21,17,17,28,81,172,170,326,615,1141,1077,966,958,935,1091,1271,1094,923,492,331,237
104,100,31,16,26,17,34,100,236,279,431,597,1248,1280,1046,975,910,1083,1277,1313,1102,894,725,530
178,78,22,11,32,20,34,107,277,234,388,574,931,985,949,829,831,910,1028,951,800,471,363,164
123,51,28,24,24,16,32,63,244,229,391,705,1206,1240,1034,940,920,1114,1326,1169,891,752,602,258
94,89,44,22,11,5,31,77,202,200,296,564,1028,1115,881,939,910,988,1204,1188,892,727,498,257
213,113,51,25,31,25,39,130,269,230,387,696,1360,1571,1294,1203,1065,1456,1711,1919,1586,1452,1112,992
74,56,45,20,52,17,26,72,137,201,377,572,1036,1176,940,831,773,1028,1190,1113,902,682,431,225
325,208,109,77,27,9,17,48,96,200,359,706,1164,1418,1359,1227,1187,1119,1329,1215,962,776,557,414
114,112,32,55,27,19,27,107,199,207,419,610,1123,898,691,605,623,831,992,1048,889,595,348,189
183,123,78,59,28,13,24,104,258,288,437,811,1417,1427,1247,1004,1036,1380,1757,1809,1646,1520,1147,800
139,88,51,38,20,9,27,95,192,221,327,501,1018,1168,1005,866,808,984,1036,988,765,576,362,170
175,80,66,49,40,18,47,92,222,293,113,691,1109,1257,984,953,979,1314,1525,1570,1408,1104,896,554
160,140,107,65,15,31,35,61,185,172,341,666,1360,1535,1214,970,1090,1407,1562,1580,1386,1207,959,664
115,89,102,42,27,17,26,101,269,245,367,665,1114,1199,1109,967,1034,1140,1228,1187,1043,792,607,317
108,67,66,27,31,22,24,86,169,183,390,702,1191,1277,1046,1043,1029,1146,1288,1278,1009,795,650,321
366,187,87,69,63,24,18,61,148,126,320,667,1198,1258,1248,1121,1111,1251,1314,1168,1021,717,468,325
118,41,40,16,47,20,25,102,241,229,340,594,913,1064,828,799,743,949,1177,1095,897,723,475,247
176,105,70,23,9,22,14,81,186,266,465,607,1244,1194,1016,923,1028,1221,1626,1527,1423,1221,1053,745
136,95,37,34,22,13,38,95,246,232,447,672,1303,1314,1120,1069,1125,1454,1809,1706,1460,1249,895,729
153,75,47,27,8,19,36,107,159,208,406,683,1304,1404,1150,947,911,1104,1259,1331,1076,841,553,277
103,65,69,34,15,28,29,82,282,220,426,677,1195,1319,983,984,962,1047,1140,1043,981,667,374,211
238,164,83,31,48,25,24,106,231,188,418,764,1288,1349,1074,985,1168,1373,1564,1565,1558,1297,1054,1013
135,104,79,34,46,32,41,65,225,199,347,557,1120,1095,919,909,863,1001,1063,1180,918,686,378,185
156,95,52,32,24,26,37,80,238,222,485,705,1269,1356,1144,970,1073,1301,1629,1577,1593,1439,1240,799
132,64,23,24,30,27,23,87,207,210,338,480,903,973,820,856,884,1139,1250,1167,957,768,506,336
151,65,25,16,21,27,27,116,220,254,363,634,1116,1214,963,952,927,1132,1202,1122,1097,879,642,345
86,64,63,22,16,28,35,72,231,183,386,537,1130,1210,918,836,854,1013,1149,1053,875,540,307,166
147,93,50,36,25,13,35,87,199,214,500,600,1162,1094,953,805,845,1003,1164,1156,885,686,346,282
110,67,54,30,15,25,30,64,230,278,364,580,1044,1075,936,774,831,1060,1298,1251,962,743,470,281
138,67,61,29,36,18,28,81,165,204,416,641,1259,1286,1092,965,1053,1329,1602,1744,1504,1144,1062,719
109,105,18,24,19,10,27,81,164,210,352,555,1113,1232,958,707,687,927,1259,1186,907,736,443,293
