feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24
362,327,161,101,56,31,25,54,70,177,331,655,1202,1292,1322,1226,1079,1087,1235,1066,797,588,394,209
475,337,163,134,72,23,28,44,109,165,407,688,1214,1418,1307,1238,996,1010,1255,1093,870,653,352,224
561,366,169,156,34,39,36,90,159,220,448,847,1352,1485,1321,1012,645,1029,1306,1407,1374,1335,1007,758
340,199,165,167,128,19,26,71,147,188,446,750,1096,1240,1082,971,1087,1133,1329,1359,1229,1036,858,570
478,446,173,199,78,30,39,61,218,162,377,836,1393,1614,1530,1329,1325,1568,1621,1629,1417,1073,784,466
539,367,245,243,77,40,31,45,97,187,369,692,1261,1349,1223,997,951,1188,1260,1136,877,686,364,172
674,466,335,229,64,27,48,45,79,157,364,706,1194,1275,1223,1326,1316,1323,1358,1269,982,890,530,311
569,345,212,177,135,30,37,86,125,202,420,826,1314,1352,1288,1250,1121,1206,1308,1497,1163,844,486,240
382,315,153,99,80,51,27,103,221,197,424,798,1331,1459,1394,1424,1128,1128,1323,1325,1296,994,949,696
588,423,226,194,82,44,25,73,159,167,413,735,1344,1581,1489,1437,1446,1335,1564,1627,1433,1301,1089,852
533,411,217,135,65,46,9,59,149,181,400,738,1154,1421,1335,1221,1216,1481,1772,1624,1284,1107,1001,765
536,361,195,135,84,41,37,30,120,153,340,714,1201,1196,981,1004,978,1029,1111,1076,747,637,361,139
416,302,165,125,51,50,38,35,87,205,341,668,1271,1358,1217,1261,1164,1208,1147,1165,735,623,362,228
506,355,209,146,89,29,41,22,72,229,387,734,1094,1452,1440,1338,1407,1501,1579,1689,1391,1181,1085,808
572,369,197,93,45,53,40,52,87,163,353,709,1182,1317,1303,1216,1367,1318,1384,1464,1304,1304,1037,672
373,283,135,92,46,48,27,44,105,140,379,761,1246,1392,1334,1328,1171,1235,1341,1167,887,654,391,242
669,429,261,169,52,32,32,75,101,186,333,779,1319,1462,1381,1304,1153,1229,1303,1199,1238,1020,642,275
433,236,173,152,56,23,23,36,68,157,406,734,1204,1389,1305,1404,1224,1360,1522,1499,1322,1066,881,638
523,309,178,157,101,50,32,104,165,203,359,726,1148,1206,1210,1109,1206,1205,1257,1372,1154,1037,1025,632
525,311,138,92,48,37,20,68,114,213,364,574,1194,1282,1407,1368,1360,1303,1552,1833,1473,1194,1041,784
299,235,126,71,41,16,15,115,156,219,363,596,983,1055,1226,1173,1155,1105,1245,1318,1145,1152,982,759
485,425,200,195,86,51,29,41,79,191,367,660,1173,1396,1351,1226,1114,1181,1259,1150,1121,833,575,410
403,346,190,101,65,32,27,138,139,317,688,1199,1793,2052,2014,1969,1733,1576,1509,1482,1479,1051,968,712
486,329,235,166,84,44,31,49,144,190,456,714,1115,1354,1227,1261,1270,1167,1384,1437,1373,1241,1038,779
607,367,246,171,66,29,44,52,199,226,414,783,1202,1391,1328,1302,1356,1370,1568,1661,1558,1387,1168,859
572,441,224,190,56,31,46,51,163,190,444,761,1267,1531,1429,1370,1238,1299,1373,1292,1181,1022,622,383
508,328,211,173,70,42,37,83,146,152,329,705,1237,1383,1296,1289,1215,1165,1184,1263,1051,813,410,213
417,307,186,108,46,27,25,110,141,173,324,681,1004,1154,1156,1164,1185,1171,1268,1469,1258,1031,917,617
533,382,217,181,84,40,29,43,103,147,352,743,1230,1393,1220,1228,1211,1041,1149,1106,907,658,406,248
602,468,280,173,51,45,22,57,60,147,441,771,1299,1601,1536,1481,1313,1359,1524,1486,1224,968,779,675
409,210,229,134,69,24,40,89,208,243,560,906,1537,1693,1661,1520,1654,1623,1800,1860,1607,1326,1113,740
403,264,136,153,59,62,44,50,81,184,359,748,1237,1347,1247,1204,1333,1419,1637,1623,1129,1092,971,759
403,321,166,124,85,60,21,73,140,205,414,916,1580,1616,1596,1538,1526,1559,1689,1642,1335,1105,911,739
554,267,172,109,106,77,23,43,69,159,365,706,1378,1471,1347,1300,1082,1200,1350,1211,936,813,713,401
398,329,133,162,69,36,27,28,69,130,268,638,1300,1622,1477,1404,1342,1461,1491,1704,1439,1133,1121,1081
357,302,165,91,82,50,32,82,104,196,387,742,1286,1326,1344,1325,1240,1354,1587,1634,1334,1014,832,599
542,423,211,173,95,39,40,33,88,198,384,747,1190,1398,1211,1178,1045,1171,1324,1363,1047,905,529,241
432,413,170,186,77,29,39,51,85,139,418,718,1117,1285,1281,1250,1100,1198,1371,1185,940,702,352,188
530,453,138,66,41,14,32,49,120,191,421,793,1318,1469,1377,1150,1111,1216,1373,1170,953,723,440,231
464,325,211,170,87,36,24,85,106,154,377,553,1110,1138,1181,1076,1022,1033,1040,1037,899,802,545,278
324,250,132,102,42,42,19,58,100,135,360,642,1250,1230,1382,1348,1356,1301,1512,1508,1506,1256,1179,740
388,279,135,153,100,44,33,56,105,158,441,713,1252,1526,1418,1276,1290,1293,1630,1646,1451,1150,947,673
