Variable,Value
curve_1,2.3
curve_1,2.7
curve_1,2.8
curve_1,2.8
curve_1,3.1
curve_1,3.0
curve_1,2.9
curve_1,3.2
curve_1,3.1
curve_1,3.4
curve_1,3.4
curve_1,3.8
curve_1,3.6
curve_1,3.6
curve_1,3.9
curve_1,3.8
curve_1,3.8
curve_1,4.1
curve_1,4.0
curve_1,4.2
curve_1,4.5
curve_1,4.3
curve_1,4.6
curve_1,4.6
curve_1,4.7
curve_1,5.0
curve_1,4.7
curve_1,5.1
curve_1,5.1
curve_1,5.0
curve_1,5.3
curve_1,5.0
curve_1,5.4
curve_1,5.9
curve_1,5.4
curve_1,5.6
curve_1,6.0
curve_1,5.5
curve_1,5.9
curve_1,6.2
curve_1,5.7
curve_1,6.3
curve_1,5.9
curve_1,6.2
curve_1,6.1
curve_1,6.2
curve_1,6.2
curve_1,5.9
curve_1,6.4
curve_1,6.2
curve_1,6.4
curve_1,7.1
curve_1,6.5
curve_1,6.8
curve_1,6.9
curve_1,6.5
curve_1,7.0
curve_1,6.7
curve_1,6.9
curve_1,7.3
curve_1,7.1
curve_1,7.2
curve_1,7.3
curve_1,7.4
curve_1,7.8
curve_1,7.8
curve_1,7.7
curve_1,8.2
curve_1,7.8
curve_1,8.2
curve_1,8.3
curve_1,8.2
curve_1,8.2
curve_1,8.1
curve_1,8.7
curve_1,9.0
curve_1,8.8
curve_1,9.4
curve_1,9.4
curve_1,9.7
curve_1,9.9
curve_1,9.8
curve_1,10.1
curve_1,10.1
curve_1,9.9
curve_1,14.3
curve_1,20.5
curve_1,21.0
curve_1,21.7
curve_1,22.3
curve_1,22.6
curve_1,23.4
curve_1,23.7
curve_1,24.2
curve_1,25.1
curve_1,25.4
curve_1,25.7
curve_1,26.2
curve_1,26.5
curve_1,27.0
curve_1,27.6
curve_1,27.9
curve_1,28.2
curve_1,28.5
curve_1,29.0
curve_1,29.2
curve_1,29.4
curve_1,29.8
curve_1,29.9
curve_1,30.1
curve_1,30.3
curve_1,0.8
curve_2,1.0
curve_2,0.9
curve_2,0.9
curve_2,0.9
curve_2,1.2
curve_2,1.1
curve_2,1.1
curve_2,1.2
curve_2,1.1
curve_2,1.3
curve_2,1.5
curve_2,1.3
curve_2,1.3
curve_2,1.1
curve_2,1.1
curve_2,1.1
curve_2,0.8
curve_2,1.0
curve_2,0.9
curve_2,0.9
curve_2,1.0
curve_2,1.2
curve_2,1.2
curve_2,1.5
curve_2,1.3
curve_2,1.2
curve_2,1.3
curve_2,1.3
curve_2,1.5
curve_2,1.7
curve_2,1.3
curve_2,1.1
curve_2,1.2
curve_2,1.0
curve_2,0.9
curve_2,0.9
curve_2,1.0
curve_2,1.0
curve_2,0.9
curve_2,1.1
curve_2,1.1
curve_2,1.5
curve_2,1.5
curve_2,1.2
curve_2,1.4
curve_2,1.3
curve_2,1.4
curve_2,1.3
curve_2,1.0
curve_2,1.3
curve_2,0.9
curve_2,1.3
curve_2,1.2
curve_2,1.0
curve_2,1.2
curve_2,1.0
curve_2,1.2
curve_2,1.2
curve_2,1.3
curve_2,1.3
curve_2,1.4
curve_2,1.0
curve_2,1.3
curve_2,1.5
curve_2,1.3
curve_2,1.3
curve_2,1.0
curve_2,0.9
curve_2,0.9
curve_2,0.8
curve_2,0.8
curve_2,1.1
curve_2,1.3
curve_2,1.3
curve_2,1.3
curve_2,1.2
curve_2,1.4
curve_2,1.1
curve_2,1.3
curve_2,1.2
curve_2,1.3
curve_2,1.1
curve_2,1.2
curve_2,1.1
curve_2,0.9
curve_2,0.9
curve_2,1.0
curve_2,0.9
curve_2,0.8
curve_2,1.0
curve_2,1.0
curve_2,1.2
curve_2,1.3
curve_2,1.4
curve_2,1.2
curve_2,1.0
curve_2,1.1
curve_2,1.1
curve_2,1.1
curve_2,0.8
curve_2,1.1
curve_2,1.2
curve_2,1.3
curve_2,1.3
curve_2,1.1
curve_2,1.3
curve_2,1.3
curve_2,1.0
curve_2,1.1
curve_2,0.9
curve_2,0.9
curve_2,0.9
curve_2,0.8
curve_2,0.9
curve_2,0.8
curve_2,1.1
curve_2,1.4
curve_2,1.7
curve_2,2.0
curve_2,2.3
curve_2,2.3
curve_2,3.0
curve_2,3.5
curve_2,3.5
curve_2,4.1
curve_2,4.1
curve_2,4.3
curve_2,4.5
curve_2,5.4
curve_2,5.5
curve_2,6.2
curve_2,6.0
curve_2,7.3
curve_2,7.3
curve_2,7.7
curve_2,8.5
curve_2,7.9
curve_2,9.3
curve_2,9.2
curve_2,9.8
curve_2,10.0
curve_2,10.0
curve_2,10.1
curve_2,10.5
curve_2,10.9
curve_2,11.5
curve_2,11.8
curve_2,11.3
curve_2,11.7
curve_2,12.1
curve_2,12.4
curve_2,12.7
curve_2,13.9
curve_2,13.0
curve_2,14.1
curve_2,13.3
curve_2,13.7
curve_2,13.5
curve_2,12.9
curve_2,13.8
curve_2,13.6
curve_2,13.7
curve_2,13.1
curve_2,13.6
curve_2,13.3
curve_2,13.9
curve_2,13.9
curve_2,13.9
curve_2,15.1
curve_2,15.7
curve_2,16.6
curve_2,16.7
curve_2,17.6
curve_2,18.3
curve_2,18.9
curve_2,18.3
curve_2,18.4
curve_2,18.4
curve_2,18.2
curve_2,17.4
curve_2,17.2
curve_2,16.7
curve_2,16.7
curve_2,16.6
curve_2,17.1
curve_2,17.9
curve_2,17.5
curve_2,18.0
curve_2,17.6
curve_2,17.8
curve_2,17.3
curve_2,17.0
curve_2,15.5
curve_2,15.6
curve_2,15.5
curve_2,15.5
curve_2,16.0
curve_2,15.7
curve_2,16.6
curve_2,16.2
curve_2,16.5
curve_2,16.3
curve_2,16.7
curve_2,17.3
curve_2,16.7
curve_2,18.3
curve_2,18.1
curve_2,18.6
curve_2,19.6
curve_2,20.1
curve_2,20.1
curve_2,20.0
curve_2,20.3
curve_2,20.3
curve_2,19.9
curve_2,19.7
curve_2,19.6
curve_2,19.7
curve_2,19.7
curve_2,19.4
curve_2,19.3
curve_2,19.2
curve_2,18.9
curve_2,18.4
curve_2,17.6
curve_2,18.1
curve_2,18.3
curve_2,18.2
curve_2,18.0
curve_2,18.0
curve_2,17.8
curve_2,17.8
curve_2,17.7
curve_2,17.6
curve_2,17.4
curve_2,17.4
curve_2,17.4
curve_2,17.4
curve_2,17.3
curve_2,17.4
curve_2,17.2
curve_2,17.3
curve_2,16.9
curve_2,16.8
curve_2,16.7
curve_2,16.6
curve_2,16.7
curve_2,16.6
curve_2,16.1
curve_2,15.9
curve_2,15.9
curve_2,15.8
curve_2,15.4
curve_2,15.3
curve_2,15.2
curve_2,14.7
curve_2,14.6
curve_2,14.1
curve_2,14.3
curve_2,13.9
curve_2,13.4
curve_2,13.2
curve_2,13.0
curve_2,12.7
curve_2,12.5
curve_2,12.3
curve_2,12.2
curve_2,12.1
curve_2,12.0
curve_2,12.1
curve_2,12.0
curve_2,12.1
curve_2,12.0
curve_2,12.0
curve_2,11.9
curve_2,12.0
curve_2,12.0
curve_2,11.6
curve_2,11.7
curve_2,11.7
curve_2,11.7
curve_2,11.5
curve_2,11.5
curve_2,11.3
curve_2,11.3
curve_2,11.2
curve_2,11.1
curve_2,11.0
curve_2,10.9
curve_2,10.8
curve_2,10.7
curve_2,11.1
curve_2,10.9
curve_2,11.0
curve_2,11.0
curve_2,11.0
curve_2,10.8
curve_2,10.9
curve_2,11.0
curve_2,10.7
curve_2,10.8
curve_2,10.6
curve_2,10.4
curve_2,10.6
curve_2,10.4
curve_2,10.5
curve_2,10.7
curve_2,10.7
curve_2,10.8
curve_2,11.1
curve_2,11.0
curve_2,11.2
curve_2,11.3
curve_2,11.3
curve_2,11.6
curve_2,11.5
curve_2,11.3
curve_2,11.2
curve_2,11.4
curve_2,11.5
curve_2,11.4
curve_2,11.3
curve_2,11.5
curve_2,11.5
curve_2,11.7
curve_2,11.6
curve_2,11.6
curve_2,11.7
curve_2,11.7
curve_2,11.7
curve_2,11.5
curve_2,11.7
curve_2,11.6
curve_2,11.8
curve_2,11.8
curve_2,12.0
curve_2,12.1
curve_2,12.0
curve_2,12.0
curve_2,12.0
curve_2,11.9
curve_2,11.9
curve_2,11.7
curve_2,11.6
curve_2,11.5
curve_2,11.6
curve_2,11.7
curve_2,11.8
curve_2,12.0
curve_2,12.0
curve_2,12.0
curve_2,12.1
curve_2,12.4
curve_2,12.4
curve_2,12.7
curve_2,12.5
curve_2,12.6
curve_2,12.5
curve_2,12.2
curve_2,12.3
curve_2,12.3
curve_2,12.3
curve_2,12.2
curve_2,12.1
curve_2,12.2
curve_2,12.0
curve_2,12.0
curve_2,12.2
curve_2,12.4
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.7
curve_2,12.9
curve_2,12.8
curve_2,12.9
curve_2,12.5
curve_2,12.4
curve_2,12.3
curve_2,12.4
curve_2,12.2
curve_2,12.1
curve_2,12.2
curve_2,12.2
curve_2,12.0
curve_2,12.0
curve_2,12.0
curve_2,11.8
curve_2,12.0
curve_2,11.9
curve_2,12.0
curve_2,12.2
curve_2,12.5
curve_2,12.4
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.3
curve_2,12.1
curve_2,12.0
curve_2,11.9
curve_2,11.9
curve_2,11.9
curve_2,11.9
curve_2,12.0
curve_2,12.1
curve_2,12.2
curve_2,12.2
curve_2,12.3
curve_2,12.2
curve_2,12.5
curve_2,12.6
curve_2,12.5
curve_2,12.5
curve_2,12.4
curve_2,12.2
curve_2,12.2
curve_2,12.1
curve_2,12.0
curve_2,12.1
curve_2,12.1
curve_2,12.0
curve_2,11.9
curve_2,12.0
curve_2,11.8
curve_2,11.7
curve_2,11.8
curve_2,11.8
curve_2,11.9
curve_2,12.0
curve_2,12.2
curve_2,12.5
curve_2,12.5
curve_2,12.7
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.4
curve_2,12.4
curve_2,12.3
curve_2,12.4
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.5
curve_2,12.7
curve_2,12.8
curve_2,12.7
curve_2,12.9
curve_2,12.9
curve_2,12.9
curve_2,12.9
curve_2,13.0
curve_2,12.8
curve_2,13.0
curve_2,12.8
curve_2,12.9
curve_2,13.0
curve_2,12.9
curve_2,13.2
curve_2,13.3
curve_2,13.3
curve_2,13.3
curve_2,13.5
curve_2,13.7
curve_2,13.5
curve_2,14.0
curve_2,14.1
curve_2,14.3
curve_2,14.4
curve_2,14.5
curve_2,14.5
curve_2,14.4
curve_2,14.4
curve_2,14.5
curve_2,14.6
curve_2,14.6
curve_2,14.5
curve_2,14.6
curve_2,14.7
curve_2,14.7
curve_2,14.8
curve_2,14.8
curve_2,14.8
curve_2,15.0
curve_2,15.4
curve_2,15.8
curve_2,15.8
curve_2,15.8
curve_2,14.8
curve_2,9.5
curve_2,2.6
curve_2,5.0
curve_2,4.1
curve_3,0.9
curve_3,1.0
curve_3,1.0
curve_3,0.9
curve_3,0.8
curve_3,0.8
curve_3,1.3
curve_3,1.4
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,1.0
curve_3,1.0
curve_3,1.4
curve_3,1.0
curve_3,1.0
curve_3,1.4
curve_3,1.3
curve_3,0.9
curve_3,1.1
curve_3,0.9
curve_3,0.8
curve_3,0.8
curve_3,1.0
curve_3,1.3
curve_3,1.1
curve_3,1.3
curve_3,1.3
curve_3,1.3
curve_3,0.9
curve_3,0.8
curve_3,1.1
curve_3,0.8
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,1.0
curve_3,1.1
curve_3,1.0
curve_3,1.1
curve_3,1.0
curve_3,1.0
curve_3,1.2
curve_3,1.3
curve_3,1.1
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,0.9
curve_3,0.7
curve_3,0.9
curve_3,0.7
curve_3,0.6
curve_3,0.7
curve_3,0.8
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,1.3
curve_3,1.1
curve_3,1.1
curve_3,1.1
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,1.0
curve_3,0.8
curve_3,1.1
curve_3,1.1
curve_3,1.2
curve_3,1.0
curve_3,1.0
curve_3,1.0
curve_3,1.2
curve_3,0.9
curve_3,1.3
curve_3,1.2
curve_3,1.2
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.8
curve_3,0.8
curve_3,0.7
curve_3,0.8
curve_3,0.8
curve_3,0.7
curve_3,0.9
curve_3,1.1
curve_3,1.6
curve_3,1.4
curve_3,1.1
curve_3,1.2
curve_3,1.3
curve_3,0.9
curve_3,1.1
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,1.2
curve_3,1.3
curve_3,1.0
curve_3,1.3
curve_3,1.2
curve_3,1.0
curve_3,1.4
curve_3,1.4
curve_3,1.3
curve_3,1.5
curve_3,1.1
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.8
curve_3,0.7
curve_3,0.8
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,1.2
curve_3,1.4
curve_3,1.7
curve_3,1.3
curve_3,1.5
curve_3,1.3
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.1
curve_3,1.0
curve_3,0.9
curve_3,1.1
curve_3,1.1
curve_3,1.2
curve_3,1.2
curve_3,1.2
curve_3,1.1
curve_3,1.3
curve_3,1.3
curve_3,1.4
curve_3,1.3
curve_3,1.2
curve_3,1.3
curve_3,0.7
curve_3,1.0
curve_3,0.8
curve_3,0.7
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.9
curve_3,0.7
curve_3,1.0
curve_3,1.1
curve_3,1.5
curve_3,1.4
curve_3,1.3
curve_3,1.4
curve_3,1.4
curve_3,1.2
curve_3,1.3
curve_3,0.9
curve_3,1.0
curve_3,1.0
curve_3,1.1
curve_3,1.3
curve_3,1.2
curve_3,1.2
curve_3,0.9
curve_3,1.3
curve_3,1.0
curve_3,1.2
curve_3,1.4
curve_3,1.4
curve_3,1.4
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.0
curve_3,0.8
curve_3,0.9
curve_3,0.7
curve_3,0.8
curve_3,0.8
curve_3,0.7
curve_3,0.6
curve_3,1.0
curve_3,1.0
curve_3,1.4
curve_3,1.4
curve_3,1.3
curve_3,1.1
curve_3,1.2
curve_3,1.1
curve_3,1.0
curve_3,1.0
curve_3,1.1
curve_3,0.9
curve_3,1.1
curve_3,1.2
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,1.1
curve_3,1.3
curve_3,1.4
curve_3,1.5
curve_3,1.4
curve_3,1.1
curve_3,1.3
curve_3,0.9
curve_3,1.0
curve_3,0.9
curve_3,0.8
curve_3,0.9
curve_3,0.8
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,1.2
curve_3,1.4
curve_3,1.1
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,1.0
curve_3,1.1
curve_3,1.1
curve_3,1.2
curve_3,1.4
curve_3,1.1
curve_3,1.2
curve_3,1.3
curve_3,1.3
curve_3,1.3
curve_3,1.5
curve_3,1.4
curve_3,1.5
curve_3,1.5
curve_3,1.3
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,0.8
curve_3,0.8
curve_3,0.7
curve_3,1.0
curve_3,1.3
curve_3,1.4
curve_3,1.4
curve_3,1.3
curve_3,1.2
curve_3,1.3
curve_3,1.2
curve_3,1.3
curve_3,1.0
curve_3,0.9
curve_3,1.0
curve_3,1.1
curve_3,1.3
curve_3,1.2
curve_3,1.3
curve_3,1.1
curve_3,1.0
curve_3,1.1
curve_3,1.4
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.3
curve_3,1.0
curve_3,1.1
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,0.8
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.7
curve_3,0.8
curve_3,1.2
curve_3,1.5
curve_3,1.3
curve_3,1.0
curve_3,1.2
curve_3,1.2
curve_3,1.2
curve_3,1.1
curve_3,0.9
curve_3,1.1
curve_3,1.2
curve_3,1.0
curve_3,1.4
curve_3,0.9
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,1.1
curve_3,1.4
curve_3,1.3
curve_3,1.4
curve_3,1.2
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.7
curve_3,0.8
curve_3,0.9
curve_3,1.0
curve_3,1.1
curve_3,1.5
curve_3,1.3
curve_3,1.1
curve_3,1.1
curve_3,0.9
curve_3,1.1
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,1.0
curve_3,1.2
curve_3,1.3
curve_3,1.0
curve_3,1.2
curve_3,1.1
curve_3,1.1
curve_3,1.0
curve_3,1.3
curve_3,1.1
curve_3,1.4
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,0.9
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,1.0
curve_3,0.8
curve_3,0.9
curve_3,0.8
curve_3,0.7
curve_3,0.9
curve_3,1.5
curve_3,1.1
curve_3,1.2
curve_3,1.1
curve_3,1.2
curve_3,1.1
curve_3,1.1
curve_3,1.1
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,1.2
curve_3,1.4
curve_3,1.3
curve_3,1.0
curve_3,1.0
curve_3,1.1
curve_3,1.3
curve_3,1.3
curve_3,1.4
curve_3,1.3
curve_3,1.2
curve_3,1.5
curve_3,1.0
curve_3,0.9
curve_3,0.7
curve_3,0.8
curve_3,0.8
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,0.8
curve_3,0.9
curve_3,0.9
curve_3,1.4
curve_3,1.3
curve_3,1.4
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,0.9
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,1.3
curve_3,1.2
curve_3,1.1
curve_3,1.2
curve_3,0.8
curve_3,1.1
curve_3,1.3
curve_3,1.1
curve_3,1.4
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.1
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.9
curve_3,0.6
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,1.1
curve_3,1.5
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.1
curve_3,0.9
curve_3,0.8
curve_3,1.1
curve_3,1.3
curve_3,1.4
curve_3,1.1
curve_3,1.1
curve_3,1.0
curve_3,1.2
curve_3,1.3
curve_3,1.2
curve_3,1.1
curve_3,1.3
curve_3,1.3
curve_3,1.0
curve_3,1.2
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,0.8
curve_3,0.8
curve_3,0.9
curve_3,0.9
curve_3,1.0
curve_3,0.9
curve_3,1.4
curve_3,1.4
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,1.0
curve_3,1.2
curve_3,1.2
curve_3,1.0
curve_3,1.0
curve_3,1.1
curve_3,1.0
curve_3,1.3
curve_3,1.0
curve_3,1.1
curve_3,1.4
curve_3,1.0
curve_3,1.1
curve_3,1.3
curve_3,1.2
curve_3,1.2
curve_3,1.3
curve_3,1.3
curve_3,1.1
curve_3,0.9
curve_3,1.0
curve_3,1.0
curve_3,0.7
curve_3,0.8
curve_3,0.8
curve_3,0.6
curve_3,0.9
curve_3,0.9
curve_3,1.0
curve_3,0.9
curve_3,0.9
curve_3,0.6
curve_3,0.2
curve_3,0.3
curve_4,0.5
curve_4,0.4
curve_4,0.7
curve_4,0.4
curve_4,0.5
curve_4,0.3
curve_4,0.6
curve_4,0.5
curve_4,0.4
curve_4,0.5
curve_4,0.3
curve_4,0.5
curve_4,0.4
curve_4,0.4
curve_4,0.4
curve_4,0.4
curve_4,0.4
curve_4,0.5
curve_4,0.5
curve_4,0.4
curve_4,0.3
curve_4,0.4
curve_4,0.4
curve_4,0.4
curve_4,0.5
curve_4,0.5
curve_4,0.5
curve_4,0.4
curve_4,0.3
curve_4,0.4
curve_4,0.4
curve_4,0.4
curve_4,0.4
curve_4,0.4
curve_4,0.5
curve_4,0.3
curve_4,0.5
curve_4,0.4
curve_4,0.4
curve_4,0.3
curve_4,0.4
curve_4,0.3
curve_4,0.3
curve_4,0.4
curve_4,0.3
curve_4,0.3
curve_4,0.4
curve_4,0.4
curve_4,0.3
curve_4,0.3
curve_4,0.3
curve_4,0.3
curve_4,0.3
curve_4,0.4
